7.1.83 Rob-21
Location,Type,Scene,Dungeon/Overworld
KF Child Training Wonderitem 2,Wonderitem,Kokiri Forest,Overworld
KF Child Training Wonderitem 3,Wonderitem,Kokiri Forest,Overworld
KF Child Maze Grass Wonderitem 1,Wonderitem,Kokiri Forest,Overworld
KF Child Maze Grass Wonderitem 2,Wonderitem,Kokiri Forest,Overworld
KF Shop Wonderitem,Wonderitem,Kokiri Shop,Overworld
LW Gift from Saria,Cutscene,,Overworld
LW Ocarina Memory Game,NPC,Lost Woods,Overworld
LW Target in Woods,NPC,Lost Woods,Overworld
LW Near Shortcuts Grotto Chest,Chest,Grottos,Overworld
LW Trade Cojiro,NPC,Lost Woods,Overworld
LW Trade Odd Potion,NPC,Lost Woods,Overworld
Deku Theater Skull Mask,NPC,Grottos,Overworld
Deku Theater Mask of Truth,NPC,Grottos,Overworld
LW Skull Kid,NPC,Lost Woods,Overworld
LW Deku Scrub Near Bridge,Scrub,Lost Woods,Overworld
LW Deku Scrub Near Deku Theater Left,Scrub,Lost Woods,Overworld
LW Deku Scrub Near Deku Theater Right,Scrub,Lost Woods,Overworld
LW Deku Scrub Grotto Front,GrottoScrub,,Overworld
LW Deku Scrub Grotto Rear,GrottoScrub,,Overworld
LW GS Bean Patch Near Bridge,GS Token,Inside Ganon's Castle,Overworld
LW GS Bean Patch Near Theater,GS Token,Inside Ganon's Castle,Overworld
LW GS Above Theater,GS Token,Inside Ganon's Castle,Overworld
LW Under Boulder Blue Rupee,Freestanding,Lost Woods,Overworld
LW Underwater Green Rupee 1,Freestanding,Lost Woods,Overworld
LW Underwater Green Rupee 2,Freestanding,Lost Woods,Overworld
LW Underwater Shortcut Green Rupee,Freestanding,Lost Woods,Overworld
LW Underwater Green Rupee 3,Freestanding,Lost Woods,Overworld
LW Underwater Green Rupee 4,Freestanding,Lost Woods,Overworld
LW Underwater Green Rupee 5,Freestanding,Lost Woods,Overworld
LW Underwater Green Rupee 6,Freestanding,Lost Woods,Overworld
LW Underwater Green Rupee 7,Freestanding,Lost Woods,Overworld
LW Near Shortcuts Grotto Beehive 1,Beehive,Grottos,Overworld
LW Near Shortcuts Grotto Beehive 2,Beehive,Grottos,Overworld
LW Scrubs Grotto Beehive,Beehive,Grottos,Overworld
LW Adult Sarias Friend Skullkid,EnemyDrop,Lost Woods,Overworld
LW Adult Ocarina Game Skullkid 1,EnemyDrop,Lost Woods,Overworld
LW Adult Ocarina Game Skullkid 2,EnemyDrop,Lost Woods,Overworld
LW Gossip Stone Drop,GossipStone,Lost Woods,Overworld
LW Near Shortcuts Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
LW Near Ocarina Game Wonderitem 1,Wonderitem,Lost Woods,Overworld
LW Near Ocarina Game Wonderitem 2,Wonderitem,Lost Woods,Overworld
LW Near Ocarina Game Wonderitem 3,Wonderitem,Lost Woods,Overworld
SFM Wolfos Grotto Chest,Chest,Grottos,Overworld
SFM Deku Scrub Grotto Front,GrottoScrub,,Overworld
SFM Deku Scrub Grotto Rear,GrottoScrub,,Overworld
SFM GS,GS Token,Inside Ganon's Castle,Overworld
SFM Storms Grotto Beehive,Beehive,Grottos,Overworld
SFM Maze Gossip Stone (Lower) Drop,GossipStone,Sacred Forest Meadow,Overworld
SFM Maze Gossip Stone (Upper) Drop,GossipStone,Sacred Forest Meadow,Overworld
SFM Saria Gossip Stone Drop,GossipStone,Sacred Forest Meadow,Overworld
SFM Child Wolfos,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Child Maze Scrub 1,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Child Maze Scrub 2,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Child Maze Scrub 3,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Child Maze Scrub 4,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Child Near Saria Scrub 1,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Child Near Saria Scrub 2,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Adult Maze Moblin 1,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Adult Maze Moblin 2,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Adult Maze Moblin 3,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Adult Maze Moblin 4,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Adult Maze Moblin 5,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Adult Smashing Moblin,EnemyDrop,Sacred Forest Meadow,Overworld
SFM Wolfos Grotto Wolfos 1,EnemyDrop,Grottos,Overworld
SFM Wolfos Grotto Wolfos 2,EnemyDrop,Grottos,Overworld
SFM Near Lost Woods Wonderitem,Wonderitem,Sacred Forest Meadow,Overworld
SFM Maze Wonderitem 1,Wonderitem,Sacred Forest Meadow,Overworld
SFM Maze Wonderitem 2,Wonderitem,Sacred Forest Meadow,Overworld
SFM Maze Wonderitem 3,Wonderitem,Sacred Forest Meadow,Overworld
SFM Maze Wonderitem 4,Wonderitem,Sacred Forest Meadow,Overworld
SFM Maze Wonderitem 5,Wonderitem,Sacred Forest Meadow,Overworld
HF Ocarina of Time Item,NPC,Hyrule Field,Overworld
HF Near Market Grotto Chest,Chest,Grottos,Overworld
HF Tektite Grotto Freestanding PoH,Collectable,Grottos,Overworld
HF Southeast Grotto Chest,Chest,Grottos,Overworld
HF Open Grotto Chest,Chest,Grottos,Overworld
HF Deku Scrub Grotto,GrottoScrub,,Overworld
HF Cow Grotto Cow,NPC,Grottos,Overworld
HF GS Cow Grotto,GS Token,Ganon's Tower,Overworld
HF GS Near Kak Grotto,GS Token,Ganon's Tower,Overworld
HF Cow Grotto Pot 1,Pot,Grottos,Overworld
HF Cow Grotto Pot 2,Pot,Grottos,Overworld
HF Near Market Grotto Beehive 1,Beehive,Grottos,Overworld
HF Near Market Grotto Beehive 2,Beehive,Grottos,Overworld
HF Open Grotto Beehive 1,Beehive,Grottos,Overworld
HF Open Grotto Beehive 2,Beehive,Grottos,Overworld
HF Southeast Grotto Beehive 1,Beehive,Grottos,Overworld
HF Southeast Grotto Beehive 2,Beehive,Grottos,Overworld
HF Inside Fence Grotto Beehive,Beehive,Grottos,Overworld
HF Near Market Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
HF Southeast Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
HF Open Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
HF Cow Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
HF Cow Grotto Skulltula,EnemyDrop,Grottos,Overworld
HF Tektite Grotto Tektite,EnemyDrop,Grottos,Overworld
HF Near Kak Grotto Skulltula,EnemyDrop,Grottos,Overworld
HF Child Near Fairy Grotto Peahat,EnemyDrop,Hyrule Field,Overworld
HF Child Near Kokiri Forest Peahat,EnemyDrop,Hyrule Field,Overworld
HF Child South Field Peahat 1,EnemyDrop,Hyrule Field,Overworld
HF Child South Field Peahat 2,EnemyDrop,Hyrule Field,Overworld
HF Child South Field Peahat 3,EnemyDrop,Hyrule Field,Overworld
HF Child South Field Flying Peahat,EnemyDrop,Hyrule Field,Overworld
HF Child Near Valley Flying Peahat,EnemyDrop,Hyrule Field,Overworld
HF Child Above Drawbridge Wonderitem 1,Wonderitem,Hyrule Field,Overworld
HF Child Above Drawbridge Wonderitem 2,Wonderitem,Hyrule Field,Overworld
HF Child Above Drawbridge Wonderitem 3,Wonderitem,Hyrule Field,Overworld
Market Shooting Gallery Reward,NPC,Shooting Gallery,Overworld
Market Bombchu Bowling First Prize,NPC,Bombchu Bowling Alley,Overworld
Market Bombchu Bowling Second Prize,NPC,Bombchu Bowling Alley,Overworld
Market Bombchu Bowling Bombchus,NPC,Bombchu Bowling Alley,Overworld
Market Bombchu Bowling Bomb,NPC,Bombchu Bowling Alley,Overworld
Market Lost Dog,NPC,Back Alley House (Dog Lady),Overworld
Market Treasure Chest Game Reward,Chest,Treasure Box Shop,Overworld
Market 10 Big Poes,NPC,Guard House,Overworld
Market GS Guard House,GS Token,Ganon's Tower (Collapsing),Overworld
Market Mask Shop Item 1,MaskShop,Happy Mask Shop,Overworld
Market Mask Shop Item 2,MaskShop,Happy Mask Shop,Overworld
Market Mask Shop Item 3,MaskShop,Happy Mask Shop,Overworld
Market Mask Shop Item 4,MaskShop,Happy Mask Shop,Overworld
Market Mask Shop Item 5,MaskShop,Happy Mask Shop,Overworld
Market Mask Shop Item 6,MaskShop,Happy Mask Shop,Overworld
Market Mask Shop Item 7,MaskShop,Happy Mask Shop,Overworld
Market Mask Shop Item 8,MaskShop,Happy Mask Shop,Overworld
Market Bazaar Item 1,Shop,Bazaar,Overworld
Market Bazaar Item 2,Shop,Bazaar,Overworld
Market Bazaar Item 3,Shop,Bazaar,Overworld
Market Bazaar Item 4,Shop,Bazaar,Overworld
Market Bazaar Item 5,Shop,Bazaar,Overworld
Market Bazaar Item 6,Shop,Bazaar,Overworld
Market Bazaar Item 7,Shop,Bazaar,Overworld
Market Bazaar Item 8,Shop,Bazaar,Overworld
Market Potion Shop Item 1,Shop,Market Potion Shop,Overworld
Market Potion Shop Item 2,Shop,Market Potion Shop,Overworld
Market Potion Shop Item 3,Shop,Market Potion Shop,Overworld
Market Potion Shop Item 4,Shop,Market Potion Shop,Overworld
Market Potion Shop Item 5,Shop,Market Potion Shop,Overworld
Market Potion Shop Item 6,Shop,Market Potion Shop,Overworld
Market Potion Shop Item 7,Shop,Market Potion Shop,Overworld
Market Potion Shop Item 8,Shop,Market Potion Shop,Overworld
Market Bombchu Shop Item 1,Shop,Bombchu Shop,Overworld
Market Bombchu Shop Item 2,Shop,Bombchu Shop,Overworld
Market Bombchu Shop Item 3,Shop,Bombchu Shop,Overworld
Market Bombchu Shop Item 4,Shop,Bombchu Shop,Overworld
Market Bombchu Shop Item 5,Shop,Bombchu Shop,Overworld
Market Bombchu Shop Item 6,Shop,Bombchu Shop,Overworld
Market Bombchu Shop Item 7,Shop,Bombchu Shop,Overworld
Market Bombchu Shop Item 8,Shop,Bombchu Shop,Overworld
ToT Light Arrows Cutscene,Cutscene,,Overworld
ToT Gossip Stone (Left) Drop,GossipStone,Temple of Time Exterior (Child - Day),Overworld
ToT Gossip Stone (Left-Center) Drop,GossipStone,Temple of Time Exterior (Child - Day),Overworld
ToT Gossip Stone (Right) Drop,GossipStone,Temple of Time Exterior (Child - Day),Overworld
ToT Gossip Stone (Right-Center) Drop,GossipStone,Temple of Time Exterior (Child - Day),Overworld
Market Night Red Rupee Crate,Crate,Market (Child - Night),Overworld
Market Night Green Rupee Crate 1,Crate,Market (Child - Night),Overworld
Market Night Green Rupee Crate 2,Crate,Market (Child - Night),Overworld
Market Night Green Rupee Crate 3,Crate,Market (Child - Night),Overworld
Market Dog Lady House Crate,Crate,Back Alley House (Dog Lady),Overworld
Market Guard House Child Crate,Crate,Guard House,Overworld
Market Guard House Child Pot 1,Pot,Guard House,Overworld
Market Guard House Child Pot 2,Pot,Guard House,Overworld
Market Guard House Child Pot 3,Pot,Guard House,Overworld
Market Guard House Child Pot 4,Pot,Guard House,Overworld
Market Guard House Child Pot 5,Pot,Guard House,Overworld
Market Guard House Child Pot 6,Pot,Guard House,Overworld
Market Guard House Child Pot 7,Pot,Guard House,Overworld
Market Guard House Child Pot 8,Pot,Guard House,Overworld
Market Guard House Child Pot 9,Pot,Guard House,Overworld
Market Guard House Child Pot 10,Pot,Guard House,Overworld
Market Guard House Child Pot 11,Pot,Guard House,Overworld
Market Guard House Child Pot 12,Pot,Guard House,Overworld
Market Guard House Child Pot 13,Pot,Guard House,Overworld
Market Guard House Child Pot 14,Pot,Guard House,Overworld
Market Guard House Child Pot 15,Pot,Guard House,Overworld
Market Guard House Child Pot 16,Pot,Guard House,Overworld
Market Guard House Child Pot 17,Pot,Guard House,Overworld
Market Guard House Child Pot 18,Pot,Guard House,Overworld
Market Guard House Child Pot 19,Pot,Guard House,Overworld
Market Guard House Child Pot 20,Pot,Guard House,Overworld
Market Guard House Child Pot 21,Pot,Guard House,Overworld
Market Guard House Child Pot 22,Pot,Guard House,Overworld
Market Guard House Child Pot 23,Pot,Guard House,Overworld
Market Guard House Child Pot 24,Pot,Guard House,Overworld
Market Guard House Child Pot 25,Pot,Guard House,Overworld
Market Guard House Child Pot 26,Pot,Guard House,Overworld
Market Guard House Child Pot 27,Pot,Guard House,Overworld
Market Guard House Child Pot 28,Pot,Guard House,Overworld
Market Guard House Child Pot 29,Pot,Guard House,Overworld
Market Guard House Child Pot 30,Pot,Guard House,Overworld
Market Guard House Child Pot 31,Pot,Guard House,Overworld
Market Guard House Child Pot 32,Pot,Guard House,Overworld
Market Guard House Child Pot 33,Pot,Guard House,Overworld
Market Guard House Child Pot 34,Pot,Guard House,Overworld
Market Guard House Child Pot 35,Pot,Guard House,Overworld
Market Guard House Child Pot 36,Pot,Guard House,Overworld
Market Guard House Child Pot 37,Pot,Guard House,Overworld
Market Guard House Child Pot 38,Pot,Guard House,Overworld
Market Guard House Child Pot 39,Pot,Guard House,Overworld
Market Guard House Child Pot 40,Pot,Guard House,Overworld
Market Guard House Child Pot 41,Pot,Guard House,Overworld
Market Guard House Child Pot 42,Pot,Guard House,Overworld
Market Guard House Child Pot 43,Pot,Guard House,Overworld
Market Guard House Child Pot 44,Pot,Guard House,Overworld
Market Guard House Adult Pot 1,Pot,Guard House,Overworld
Market Guard House Adult Pot 2,Pot,Guard House,Overworld
Market Guard House Adult Pot 3,Pot,Guard House,Overworld
Market Guard House Adult Pot 4,Pot,Guard House,Overworld
Market Guard House Adult Pot 5,Pot,Guard House,Overworld
Market Guard House Adult Pot 6,Pot,Guard House,Overworld
Market Guard House Adult Pot 7,Pot,Guard House,Overworld
Market Man in Green House Pot 1,Pot,Back Alley House (Man in Green),Overworld
Market Man in Green House Pot 2,Pot,Back Alley House (Man in Green),Overworld
Market Man in Green House Pot 3,Pot,Back Alley House (Man in Green),Overworld
Market Adult Redead 1,EnemyDrop,Market (Ruins),Overworld
Market Adult Redead 2,EnemyDrop,Market (Ruins),Overworld
Market Adult Redead 3,EnemyDrop,Market (Ruins),Overworld
Market Adult Redead 4,EnemyDrop,Market (Ruins),Overworld
Market Adult Redead 5,EnemyDrop,Market (Ruins),Overworld
Market Adult Redead 6,EnemyDrop,Market (Ruins),Overworld
Market Adult Redead 7,EnemyDrop,Market (Ruins),Overworld
Market Adult Redead 8,EnemyDrop,Market (Ruins),Overworld
Market Daytime Balcony Wonderitem 1,Wonderitem,Market (Child - Day),Overworld
Market Daytime Balcony Wonderitem 2,Wonderitem,Market (Child - Day),Overworld
Market Daytime Balcony Wonderitem 3,Wonderitem,Market (Child - Day),Overworld
Market Daytime Balcony Wonderitem 4,Wonderitem,Market (Child - Day),Overworld
Market Daytime Balcony Wonderitem 5,Wonderitem,Market (Child - Day),Overworld
Market Night Balcony Wonderitem 1,Wonderitem,Market (Child - Night),Overworld
Market Night Balcony Wonderitem 2,Wonderitem,Market (Child - Night),Overworld
HC Malon Egg,NPC,Hyrule Castle,Overworld
HC Zeldas Letter,NPC,Castle Courtyard,Overworld
HC Great Fairy Reward,Cutscene,,Overworld
HC GS Tree,GS Token,Ganon's Tower (Collapsing),Overworld
HC GS Storms Grotto,GS Token,Ganon's Tower (Collapsing),Overworld
HC Storms Grotto Pot 1,Pot,Grottos,Overworld
HC Storms Grotto Pot 2,Pot,Grottos,Overworld
HC Storms Grotto Pot 3,Pot,Grottos,Overworld
HC Storms Grotto Pot 4,Pot,Grottos,Overworld
HC Malon Gossip Stone Drop,GossipStone,Hyrule Castle,Overworld
HC Rock Wall Gossip Stone Drop,GossipStone,Hyrule Castle,Overworld
HC Storms Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
HC Storms Grotto Skullwalltula 1,EnemyDrop,Grottos,Overworld
HC Storms Grotto Skullwalltula 2,EnemyDrop,Grottos,Overworld
HC Castle Torch Wonderitem 1,Wonderitem,Hyrule Castle,Overworld
HC Castle Torch Wonderitem 2,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 1,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 2,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 3,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 4,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 5,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 6,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 7,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 8,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 9,Wonderitem,Hyrule Castle,Overworld
HC Castle Moat Wonderitem 10,Wonderitem,Hyrule Castle,Overworld
HC Zeldas Courtyard Mario Wonderitem,Wonderitem,Castle Courtyard,Overworld
LLR Talons Chickens,NPC,Ranch House & Silo,Overworld
LLR Freestanding PoH,Collectable,Ranch House & Silo,Overworld
LLR Deku Scrub Grotto Left,GrottoScrub,,Overworld
LLR Deku Scrub Grotto Center,GrottoScrub,,Overworld
LLR Deku Scrub Grotto Right,GrottoScrub,,Overworld
LLR Stables Left Cow,NPC,Stable,Overworld
LLR Stables Right Cow,NPC,Stable,Overworld
LLR Tower Left Cow,NPC,Ranch House & Silo,Overworld
LLR Tower Right Cow,NPC,Ranch House & Silo,Overworld
LLR GS House Window,GS Token,Gerudo Training Ground,Overworld
LLR GS Tree,GS Token,Gerudo Training Ground,Overworld
LLR GS Rain Shed,GS Token,Gerudo Training Ground,Overworld
LLR GS Back Wall,GS Token,Gerudo Training Ground,Overworld
LLR Front Pot 1,Pot,Lon Lon Ranch,Overworld
LLR Front Pot 2,Pot,Lon Lon Ranch,Overworld
LLR Front Pot 3,Pot,Lon Lon Ranch,Overworld
LLR Front Pot 4,Pot,Lon Lon Ranch,Overworld
LLR Rain Shed Pot 1,Pot,Lon Lon Ranch,Overworld
LLR Rain Shed Pot 2,Pot,Lon Lon Ranch,Overworld
LLR Rain Shed Pot 3,Pot,Lon Lon Ranch,Overworld
LLR Talons House Pot 1,Pot,Ranch House & Silo,Overworld
LLR Talons House Pot 2,Pot,Ranch House & Silo,Overworld
LLR Talons House Pot 3,Pot,Ranch House & Silo,Overworld
LLR Child Crate,Crate,Lon Lon Ranch,Overworld
LLR Grotto Beehive,Beehive,Grottos,Overworld
LLR Child Night Guay 1,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 2,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 3,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 4,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 5,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 6,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 7,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 8,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 9,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 10,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 11,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 12,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 13,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 14,EnemyDrop,Lon Lon Ranch,Overworld
LLR Child Night Guay 15,EnemyDrop,Lon Lon Ranch,Overworld
LLR Epona Hurdle Wonderitem 1,Wonderitem,Lon Lon Ranch,Overworld
LLR Epona Hurdle Wonderitem 2,Wonderitem,Lon Lon Ranch,Overworld
Kak Anju as Child,NPC,Kakariko Village,Overworld
Kak Anju as Adult,NPC,Kakariko Village,Overworld
Kak Anju Trade Pocket Cucco,NPC,Kakariko Village,Overworld
Kak Granny Trade Odd Mushroom,NPC,Granny's Potion Shop,Overworld
Kak Granny Buy Blue Potion,NPC,Granny's Potion Shop,Overworld
Kak Impas House Freestanding PoH,Collectable,Impa's House,Overworld
Kak Windmill Freestanding PoH,Collectable,Dampé's Grave & Windmill,Overworld
Kak Man on Roof,NPC,Kakariko Village,Overworld
Kak Open Grotto Chest,Chest,Grottos,Overworld
Kak Redead Grotto Chest,Chest,Grottos,Overworld
Kak Shooting Gallery Reward,NPC,Shooting Gallery,Overworld
Kak 10 Gold Skulltula Reward,NPC,House of Skulltula,Overworld
Kak 20 Gold Skulltula Reward,NPC,House of Skulltula,Overworld
Kak 30 Gold Skulltula Reward,NPC,House of Skulltula,Overworld
Kak 40 Gold Skulltula Reward,NPC,House of Skulltula,Overworld
Kak 50 Gold Skulltula Reward,NPC,House of Skulltula,Overworld
Kak Impas House Cow,NPC,Impa's House,Overworld
Kak GS Tree,GS Token,Treasure Box Shop,Overworld
Kak GS Near Gate Guard,GS Token,Treasure Box Shop,Overworld
Kak GS Watchtower,GS Token,Treasure Box Shop,Overworld
Kak GS Skulltula House,GS Token,Treasure Box Shop,Overworld
Kak GS House Under Construction,GS Token,Treasure Box Shop,Overworld
Kak GS Above Impas House,GS Token,Treasure Box Shop,Overworld
Kak Bazaar Item 1,Shop,Bazaar,Overworld
Kak Bazaar Item 2,Shop,Bazaar,Overworld
Kak Bazaar Item 3,Shop,Bazaar,Overworld
Kak Bazaar Item 4,Shop,Bazaar,Overworld
Kak Bazaar Item 5,Shop,Bazaar,Overworld
Kak Bazaar Item 6,Shop,Bazaar,Overworld
Kak Bazaar Item 7,Shop,Bazaar,Overworld
Kak Bazaar Item 8,Shop,Bazaar,Overworld
Kak Potion Shop Item 1,Shop,Kakariko Potion Shop,Overworld
Kak Potion Shop Item 2,Shop,Kakariko Potion Shop,Overworld
Kak Potion Shop Item 3,Shop,Kakariko Potion Shop,Overworld
Kak Potion Shop Item 4,Shop,Kakariko Potion Shop,Overworld
Kak Potion Shop Item 5,Shop,Kakariko Potion Shop,Overworld
Kak Potion Shop Item 6,Shop,Kakariko Potion Shop,Overworld
Kak Potion Shop Item 7,Shop,Kakariko Potion Shop,Overworld
